customer_id,total_orders,total_spent_chf,avg_order_value_chf,avg_discount_pct,loyalty_years,pct_weekend_orders
2001,14,430.54,32.18,13.4,1.5,0.51
2002,11,587.88,50.39,22.3,1.8,0.44
2003,2,532.52,254.72,0.4,2.6,0.17
2004,10,626.42,63.85,4.9,6.5,0.37
2005,2,128.21,64.15,3.9,0.2,0.24
2006,17,538.11,32.32,15.6,2.8,0.43
2007,4,1179.39,274.67,2.8,2.3,0.34
2008,9,554.63,63.07,1.6,3.3,0.28
2009,13,518.81,40.47,22.8,2.6,0.3
2010,5,1140.37,228.53,1.8,1.5,0.1
2011,1,54.77,56.36,1.6,0.5,0.35
2012,5,1254.2,255.32,0.0,2.4,0.45
2013,17,667.74,38.99,7.8,3.0,0.5
2014,3,957.97,334.64,1.2,2.0,0.05
2015,13,586.52,42.65,18.2,2.9,0.47
2016,5,779.6,150.83,3.2,0.8,0.0
2017,13,999.48,75.4,1.7,5.3,0.52
2018,3,141.24,45.31,6.1,0.1,0.31
2019,3,154.82,49.27,0.0,0.9,0.3
2020,11,526.53,48.58,8.7,2.9,0.38
2021,4,1316.98,345.97,2.9,3.8,0.32
2022,2,82.59,40.3,5.1,0.5,0.56
2023,3,184.72,65.31,4.0,0.0,0.09
2024,3,123.13,39.79,4.4,0.7,0.34
2025,17,435.73,26.7,9.0,0.1,0.48
2026,10,708.85,65.67,5.2,5.9,0.16
2027,13,291.31,21.48,12.7,0.9,0.3
2028,14,1250.06,83.67,9.9,3.1,0.26
2029,16,570.39,33.45,15.8,2.0,0.57
2030,17,492.51,29.09,9.8,3.9,0.51
2031,16,1346.31,85.45,5.1,4.2,0.13
2032,8,728.65,80.83,6.9,6.2,0.33
2033,15,889.5,57.58,12.3,4.2,0.09
2034,9,308.62,31.98,18.4,1.5,0.25
2035,17,630.11,39.95,14.6,1.9,0.55
2036,14,466.07,34.11,16.6,2.9,0.27
2037,14,460.17,33.13,14.8,3.0,0.44
2038,10,328.46,36.7,15.7,2.1,0.15
2039,3,136.04,43.26,2.6,0.1,0.27
2040,17,497.39,32.11,18.0,2.0,0.54
2041,1,56.88,54.61,3.0,0.7,0.14
2042,3,96.52,32.9,4.6,0.4,0.51
2043,9,642.29,68.02,3.7,4.2,0.16
2044,12,482.39,40.37,24.4,1.2,0.53
2045,2,637.49,329.6,2.8,4.0,0.24
2046,2,149.99,79.0,6.0,1.0,0.36
2047,3,1151.45,382.42,2.1,4.9,0.33
2048,12,598.94,51.46,16.7,0.5,0.41
2049,5,1780.85,351.6,0.0,1.1,0.24
2050,16,576.89,32.07,14.6,1.9,0.34
2051,3,160.61,54.2,0.1,0.6,0.55
2052,16,1118.42,76.28,8.2,5.2,0.16
2053,3,1127.77,386.34,5.5,2.4,0.22
2054,13,440.47,37.44,4.4,7.1,0.38
2055,5,1251.11,252.23,1.8,3.1,0.3
2056,3,78.77,24.8,6.7,0.7,0.54
2057,12,676.26,55.42,8.0,4.6,0.43
2058,12,792.89,65.54,12.0,4.8,0.28
2059,13,469.12,39.53,14.3,1.5,0.84
2060,1,58.17,55.77,3.1,0.3,0.4
2061,3,190.01,63.19,5.8,1.3,0.17
2062,4,1315.59,316.45,7.2,2.4,0.24
2063,12,740.26,64.7,6.0,4.5,0.07
2064,17,807.27,48.68,19.8,0.6,0.6
2065,10,296.64,28.41,5.1,4.4,0.42
2066,9,642.09,72.74,5.8,7.0,0.31
2067,17,670.29,40.6,15.0,1.6,0.43
2068,3,158.44,56.33,2.7,0.6,0.19
2069,8,608.19,72.16,12.4,2.7,0.43
2070,14,932.64,67.21,5.0,3.3,0.21
2071,18,703.45,38.47,17.4,0.5,0.28
2072,2,98.47,47.3,7.5,0.0,0.35
2073,2,112.9,56.88,2.3,0.2,0.26
2074,2,84.63,40.61,6.0,1.0,0.42
2075,18,338.33,18.78,16.8,2.5,0.38
2076,3,130.03,46.89,0.0,0.1,0.34
2077,2,908.47,431.67,0.7,3.4,0.29
2078,3,696.42,226.55,3.8,3.8,0.18
2079,3,654.38,209.87,2.6,3.4,0.21
2080,3,905.31,298.71,3.0,0.0,0.25
2081,3,970.49,318.14,0.8,2.6,0.32
2082,5,2285.27,434.49,4.8,3.3,0.05
2083,9,341.8,38.95,16.9,2.8,0.35
2084,11,780.08,75.8,6.4,4.9,0.28
2085,5,1947.32,369.22,2.3,0.7,0.36
2086,3,166.16,61.92,7.2,0.0,0.33
2087,3,792.08,257.66,2.7,0.7,0.21
2088,2,504.52,239.92,0.8,4.5,0.0
2089,12,396.77,33.87,14.0,4.7,0.35
2090,17,445.11,26.8,21.4,3.2,0.46
2091,4,1193.58,322.98,0.0,3.6,0.29
2092,13,462.43,34.19,12.1,3.2,0.13
2093,1,34.11,36.64,5.9,1.0,0.25
2094,8,452.75,55.31,3.8,5.1,0.4
2095,1,46.9,48.0,3.2,1.1,0.6
2096,13,903.99,66.13,5.3,4.1,0.31
2097,3,205.91,65.61,2.9,0.2,0.23
2098,4,1001.45,262.32,1.4,4.4,0.3
2099,2,138.31,72.26,0.0,0.5,0.39
2100,2,548.51,271.56,2.7,3.4,0.37
2101,1,39.14,36.43,0.7,0.8,0.26
2102,2,115.45,53.66,8.6,0.7,0.25
2103,15,949.01,68.51,2.6,4.8,0.09
2104,2,102.6,55.89,3.0,0.7,0.27
2105,13,1110.48,89.11,4.4,4.9,0.14
2106,13,598.28,47.21,4.6,5.7,0.36
2107,16,742.56,44.7,10.3,1.5,0.46
2108,3,907.07,275.4,0.0,2.2,0.3
2109,1,55.46,54.42,0.0,0.5,0.49
2110,3,172.13,58.26,0.4,1.7,0.23
2111,2,101.71,52.18,2.6,0.2,0.27
