order_id,quantity,unit_price_chf,discount_pct,customer_loyalty_years,order_month,is_weekend,cat_Elektronik,cat_Haushalt,cat_Kleidung,cat_Sport,land_Deutschland,land_Frankreich,zahlung_Twint,zahlung_Rechnung,total_price_chf
1001,1,61.22,15,6.3,8,0,0,0,0,1,1,0,0,0,51.9
1002,4,45.42,20,5.2,10,1,0,0,1,0,0,0,1,0,151.51
1003,4,20.92,0,0.6,5,0,0,0,0,0,0,0,0,1,82.37
1004,3,70.45,0,2.0,7,0,0,0,0,1,0,0,1,0,205.56
1005,2,200.08,20,0.4,1,1,1,0,0,0,0,1,0,1,284.1
1006,1,23.35,5,0.7,9,0,0,0,0,0,0,0,1,0,18.67
1007,1,79.27,5,0.7,6,0,0,0,0,1,0,0,0,1,73.73
1008,4,80.53,5,1.9,6,1,0,0,0,1,1,0,0,0,307.4
1009,1,199.96,5,4.8,7,0,1,0,0,0,0,0,1,0,170.42
1010,8,27.93,10,1.1,3,0,0,0,1,0,0,0,0,0,200.54
1011,2,42.05,10,5.5,8,0,0,0,1,0,0,0,1,0,76.02
1012,6,13.37,0,4.0,9,0,0,0,0,0,0,0,1,0,66.38
1013,6,60.39,10,1.4,5,0,0,1,0,0,0,0,0,1,302.23
1014,4,74.94,10,2.1,2,0,0,0,0,1,0,0,0,1,278.57
1015,8,53.47,0,1.7,5,1,0,0,1,0,0,0,0,0,441.01
1016,1,54.62,0,3.2,3,0,0,0,1,0,0,0,1,0,49.58
1017,2,62.19,15,1.6,5,0,0,1,0,0,0,0,1,0,107.06
1018,3,163.79,10,1.3,8,1,1,0,0,0,1,0,0,0,478.4
1019,2,81.55,0,1.6,2,0,0,0,0,1,0,0,0,0,173.24
1020,3,54.3,0,1.6,9,0,0,1,0,0,0,1,0,0,161.66
1021,3,74.98,10,0.5,3,0,0,0,0,1,0,1,1,0,194.87
1022,7,52.99,5,0.0,11,1,0,0,1,0,0,0,0,0,334.64
1023,3,19.79,20,0.9,9,0,0,0,0,0,0,0,0,1,49.27
1024,8,25.19,5,0.8,4,1,0,0,0,0,0,0,0,0,194.43
1025,7,84.14,20,9.0,7,0,0,0,0,1,1,0,0,1,494.91
1026,8,149.06,0,1.5,2,1,1,0,0,0,1,0,0,0,1205.06
1027,1,52.89,5,1.6,2,0,0,0,1,0,1,0,1,0,53.54
1028,8,202.63,0,2.0,12,0,1,0,0,0,0,0,0,0,1633.31
1029,5,183.3,10,2.1,10,0,1,0,0,0,1,0,1,0,876.63
1030,8,64.71,0,0.3,2,0,0,0,0,1,0,0,0,1,553.74
1031,3,63.4,5,1.2,4,1,0,0,0,1,1,0,0,1,169.06
1032,8,19.87,0,0.1,3,1,0,0,0,0,0,0,0,1,135.97
1033,5,49.4,0,0.0,5,0,0,0,1,0,1,0,0,0,277.5
1034,1,37.26,0,1.3,4,0,0,0,1,0,0,1,0,0,38.03
1035,4,48.54,5,7.2,4,0,0,0,1,0,0,0,0,0,159.15
1036,2,139.77,20,1.2,7,0,1,0,0,0,1,0,0,0,210.86
1037,8,173.39,0,0.1,3,0,1,0,0,0,0,0,1,0,1472.77
1038,3,45.89,0,0.6,11,1,0,0,1,0,1,0,1,0,134.59
1039,2,64.81,0,0.4,9,0,0,0,1,0,0,0,1,0,124.31
1040,5,45.12,15,2.3,10,0,0,1,0,0,0,1,0,1,213.25
1041,4,56.92,0,0.7,3,0,0,0,1,0,0,0,1,0,208.6
1042,1,77.02,20,1.9,9,1,0,0,0,1,0,1,0,1,57.68
1043,7,80.55,0,1.0,11,0,0,0,0,1,1,0,0,0,573.39
1044,7,45.96,0,1.9,3,1,0,0,1,0,0,0,0,0,331.77
1045,6,81.0,10,1.7,10,0,0,0,0,1,1,0,1,0,454.77
1046,5,72.93,10,4.0,5,1,0,0,0,1,1,0,0,1,352.11
1047,4,56.78,20,0.7,10,1,0,0,1,0,0,1,0,0,184.58
1048,5,41.3,20,0.8,6,0,0,0,1,0,0,0,1,0,171.67
1049,5,90.29,20,1.2,10,0,0,0,0,1,0,0,1,0,353.67
1050,2,159.12,10,1.3,2,1,1,0,0,0,0,0,0,0,287.85
1051,1,178.05,0,0.4,5,0,1,0,0,0,1,0,0,0,179.58
1052,3,145.27,5,1.4,4,0,1,0,0,0,0,0,0,1,421.14
1053,4,81.14,0,2.4,3,1,0,0,0,1,0,0,1,0,344.62
1054,2,75.61,5,0.5,4,1,0,1,0,0,0,0,0,0,150.04
1055,1,73.96,0,3.9,5,0,0,0,0,1,0,0,0,1,74.22
1056,7,72.34,0,3.2,2,1,0,0,0,1,0,0,0,0,473.6
1057,3,35.97,0,3.0,9,0,0,0,1,0,1,0,0,1,108.49
1058,5,57.52,5,2.5,7,1,0,1,0,0,1,0,0,0,272.61
1059,5,128.39,0,1.9,10,0,1,0,0,0,0,0,1,0,651.87
1060,6,150.42,20,1.2,9,0,1,0,0,0,0,0,0,0,849.47
1061,6,62.45,5,2.0,2,0,0,1,0,0,0,1,0,0,341.05
1062,3,55.68,20,3.5,1,0,0,0,1,0,0,0,0,1,138.15
1063,7,90.34,10,1.0,6,1,0,1,0,0,0,0,0,0,617.79
1064,3,67.08,0,0.3,6,0,0,0,0,1,0,0,0,0,202.82
1065,7,75.5,0,5.7,3,0,0,1,0,0,1,0,0,0,627.34
1066,4,62.63,10,4.7,10,0,0,1,0,0,0,0,1,0,218.65
1067,1,58.37,5,0.8,7,0,0,1,0,0,1,0,0,1,56.89
1068,7,48.5,0,0.9,9,0,0,0,1,0,1,0,0,1,317.8
1069,1,182.01,5,2.8,2,0,1,0,0,0,0,0,0,0,168.05
1070,7,45.89,20,1.1,10,0,0,0,1,0,0,1,0,0,262.1
1071,1,166.77,0,1.1,3,1,1,0,0,0,1,0,0,0,178.06
1072,2,33.68,0,1.4,6,0,0,0,1,0,0,0,1,0,69.08
1073,5,15.89,0,0.5,6,1,0,0,0,0,0,0,0,1,87.45
1074,8,50.29,20,1.5,10,1,0,0,1,0,0,0,1,0,319.41
1075,4,171.03,15,0.4,4,1,1,0,0,0,0,0,1,0,566.05
1076,1,40.17,15,0.8,3,1,0,0,1,0,0,0,0,0,41.53
1077,2,45.07,20,0.6,5,1,0,0,1,0,0,1,0,1,74.39
1078,8,68.59,0,0.1,5,0,0,1,0,0,0,0,0,0,517.14
1079,6,61.95,0,3.8,3,1,0,1,0,0,0,0,0,0,351.06
1080,1,66.14,0,0.7,3,1,0,0,0,1,1,0,0,0,61.15
1081,4,73.24,0,0.7,3,0,0,1,0,0,0,0,0,0,314.91
1082,3,57.79,15,9.0,6,0,0,0,1,0,0,1,0,0,143.07
1083,2,81.68,20,1.6,5,0,0,0,0,1,1,0,0,0,132.02
1084,7,211.55,0,0.1,5,0,1,0,0,0,0,0,0,0,1473.33
1085,5,220.24,15,1.0,9,1,1,0,0,0,0,0,1,0,990.8
1086,2,216.62,5,0.8,3,0,1,0,0,0,0,1,0,0,383.7
1087,6,83.29,0,1.2,11,0,0,0,0,1,1,0,0,0,456.74
1088,4,49.85,20,0.4,10,1,0,0,1,0,0,1,0,1,162.38
1089,1,196.84,20,0.3,3,0,1,0,0,0,0,0,1,0,165.04
1090,4,48.15,5,0.2,4,1,0,1,0,0,0,1,1,0,187.84
1091,2,202.7,10,2.3,3,0,1,0,0,0,1,0,0,0,341.23
1092,2,56.7,0,0.1,4,1,0,0,0,1,0,0,0,1,119.55
1093,8,38.56,15,2.8,5,1,0,0,1,0,0,0,0,0,246.6
1094,6,55.56,5,0.3,2,1,0,0,1,0,1,0,0,0,303.48
1095,2,51.81,20,2.6,1,0,0,0,1,0,0,0,0,1,76.64
1096,7,76.06,0,2.3,6,1,0,1,0,0,0,0,1,0,587.84
1097,5,42.8,0,2.0,9,0,0,0,1,0,1,0,1,0,224.84
1098,7,142.67,20,0.1,4,0,1,0,0,0,0,0,1,0,837.62
1099,6,172.21,0,0.8,11,0,1,0,0,0,0,0,1,0,1136.36
1100,3,22.4,0,1.9,5,0,0,0,0,0,0,0,0,0,82.32
1101,5,22.31,15,0.0,11,0,0,0,0,0,0,0,0,0,81.85
1102,5,90.3,0,0.7,3,0,0,0,0,1,0,1,0,0,424.83
1103,6,42.07,5,0.9,7,0,0,0,1,0,1,0,0,0,227.98
1104,2,23.39,0,3.8,10,1,0,0,0,0,0,0,0,1,43.6
1105,3,61.65,0,0.5,1,0,0,0,0,1,0,1,0,0,169.01
1106,2,81.08,20,0.4,12,0,0,0,0,1,0,1,1,0,126.62
